,pdx,pdy,nan,nan1
17,,,-19.787262,-7.3940706
18,,,-19.787249,-7.394039
19,,,-19.787241,-7.394016
0,,,-21.42937,-7.9322424
1,,,-21.42922,-7.927123
2,,,-21.42882,-7.9233875
3,,,-21.428331,-7.9206495
4,,,-21.427837,-7.918634
5,,,-21.427385,-7.9171433
6,,,-21.42699,-7.9160347
7,,,-21.426662,-7.915205
8,,,-21.426386,-7.9145584
9,,,-21.426163,-7.914064
10,,,-21.42598,-7.91369
11,,,-21.425838,-7.913412
12,,,-21.425732,-7.913205
13,,,-21.425652,-7.913051
14,,,-21.425592,-7.912936
15,,,-21.425547,-7.91285
16,,,-21.425516,-7.912785
17,,,-21.425493,-7.9127374
18,,,-21.425482,-7.912704
19,,,-21.425472,-7.9126787
0,,,-23.123135,-8.482713
1,,,-23.12296,-8.477284
2,,,-23.122532,-8.473324
3,,,-23.122011,-8.470421
4,,,-23.12149,-8.468284
5,,,-23.121016,-8.466703
6,,,-23.120602,-8.465528
7,,,-23.120256,-8.464645
8,,,-23.119967,-8.463951
9,,,-23.119728,-8.463427
10,,,-23.11954,-8.463036
11,,,-23.119394,-8.462745
12,,,-23.119284,-8.462528
13,,,-23.1192,-8.462366
14,,,-23.119139,-8.462246
15,,,-23.119093,-8.462155
16,,,-23.11906,-8.462089
17,,,-23.11904,-8.462042
18,,,-23.119026,-8.462007
19,,,-23.119017,-8.46198
0,,,-24.891783,-9.0556135
1,,,-24.8916,-9.049924
2,,,-24.891153,-9.045774
3,,,-24.89061,-9.042732
4,,,-24.890068,-9.040494
5,,,-24.88957,-9.038839
6,,,-24.889141,-9.037607
7,,,-24.88878,-9.036685
8,,,-24.888481,-9.035965
9,,,-24.888233,-9.035417
10,,,-24.888035,-9.035001
11,,,-24.887877,-9.034688
12,,,-24.887756,-9.034454
13,,,-24.887665,-9.034281
14,,,-24.887598,-9.034151
15,,,-24.887548,-9.034054
16,,,-24.887514,-9.033981
17,,,-24.88749,-9.033926
18,,,-24.88747,-9.033886
19,,,-24.88746,-9.033857
0,,,-26.733944,-9.660963
1,,,-26.733778,-9.654978
2,,,-26.733332,-9.650611
3,,,-26.73278,-9.64741
4,,,-26.732225,-9.645054
5,,,-26.731714,-9.643312
6,,,-26.731272,-9.642017
7,,,-26.730902,-9.6410475
8,,,-26.730595,-9.640304
9,,,-26.730343,-9.639726
10,,,-26.730139,-9.639289
11,,,-26.729977,-9.638959
12,,,-26.729853,-9.638711
13,,,-26.729761,-9.638528
14,,,-26.72969,-9.638391
15,,,-26.72964,-9.638287
16,,,-26.729603,-9.63821
17,,,-26.729578,-9.638153
18,,,-26.72956,-9.638109
19,,,-26.72955,-9.638079
0,,,-28.641525,-10.29289
1,,,-28.641344,-10.286617
2,,,-28.640877,-10.282041
3,,,-28.640303,-10.2786875
4,,,-28.639727,-10.276218
5,,,-28.639196,-10.274393
6,,,-28.638737,-10.273033
7,,,-28.638346,-10.271993
8,,,-28.638018,-10.271189
9,,,-28.637747,-10.270582
10,,,-28.637535,-10.270133
11,,,-28.637371,-10.269798
12,,,-28.637245,-10.269549
13,,,-28.637152,-10.269363
14,,,-28.63708,-10.269225
15,,,-28.637028,-10.269122
16,,,-28.636992,-10.269048
17,,,-28.636969,-10.268994
18,,,-28.636951,-10.268954
19,,,-28.636942,-10.268924
0,,,-30.614878,-10.970266
1,,,-30.614676,-10.963624
2,,,-30.614178,-10.9587755
3,,,-30.613573,-10.955223
4,,,-30.612967,-10.952607
5,,,-30.612411,-10.950673
6,,,-30.611929,-10.949234
7,,,-30.611528,-10.948156
8,,,-30.611193,-10.947316
9,,,-30.610918,-10.946674
10,,,-30.610697,-10.946194
11,,,-30.610529,-10.945834
12,,,-30.6104,-10.945568
13,,,-30.610304,-10.945369
14,,,-30.610231,-10.94522
15,,,-30.61018,-10.94511
16,,,-30.61014,-10.945026
17,,,-30.610117,-10.944967
18,,,-30.6101,-10.944925
19,,,-30.61009,-10.944893
0,,,-32.6641,-11.676172
1,,,-32.663868,-11.669164
2,,,-32.663334,-11.664052
3,,,-32.662693,-11.660304
4,,,-32.662052,-11.657545
5,,,-32.66147,-11.655505
6,,,-32.66097,-11.653987
7,,,-32.66055,-11.652851
8,,,-32.660194,-11.651968
9,,,-32.659912,-11.651292
10,,,-32.65968,-11.650782
11,,,-32.6595,-11.650402
12,,,-32.659367,-11.650119
13,,,-32.659267,-11.649909
14,,,-32.65919,-11.649752
15,,,-32.659134,-11.649633
16,,,-32.659092,-11.649546
17,,,-32.659065,-11.649481
18,,,-32.65905,-11.649435
19,,,-32.65904,-11.649401
0,,,-34.785473,-12.413023
1,,,-34.78528,-12.405697
2,,,-34.78476,-12.4003525
3,,,-34.784126,-12.396435
4,,,-34.783485,-12.393551
5,,,-34.7829,-12.391418
6,,,-34.78239,-12.38983
7,,,-34.78196,-12.388624
8,,,-34.781597,-12.387686
9,,,-34.7813,-12.38698
10,,,-34.781067,-12.3864565
11,,,-34.780888,-12.386066
12,,,-34.78075,-12.3857765
13,,,-34.780647,-12.385559
14,,,-34.780567,-12.385398
15,,,-34.780514,-12.385276
16,,,-34.78047,-12.385192
17,,,-34.78045,-12.385129
18,,,-34.780434,-12.385082
19,,,-34.780422,-12.385046
0,,,-36.977818,-13.194412
1,,,-36.97759,-13.186716
2,,,-36.97704,-13.181099
3,,,-36.976364,-13.176983
4,,,-36.975693,-13.173953
5,,,-36.975075,-13.171712
6,,,-36.97454,-13.170044
7,,,-36.97409,-13.168793
8,,,-36.973717,-13.1678095
9,,,-36.973408,-13.167066
10,,,-36.973164,-13.16651
11,,,-36.972973,-13.166097
12,,,-36.972836,-13.16579
13,,,-36.972725,-13.16556
14,,,-36.972645,-13.165389
15,,,-36.972584,-13.165259
16,,,-36.97254,-13.165166
17,,,-36.97252,-13.165099
18,,,-36.9725,-13.16505
19,,,-36.97249,-13.165011
0,,,-39.235027,-13.9507885
1,,,-39.23479,-13.943055
2,,,-39.234222,-13.937415
3,,,-39.233536,-13.933285
4,,,-39.23285,-13.930239
5,,,-39.232204,-13.927921
6,,,-39.231636,-13.926168
7,,,-39.231155,-13.92487
8,,,-39.23076,-13.923904
9,,,-39.230442,-13.923191
10,,,-39.230186,-13.922663
11,,,-39.229992,-13.922275
12,,,-39.229847,-13.921997
13,,,-39.229736,-13.921792
14,,,-39.229656,-13.9216385
15,,,-39.22959,-13.921524
16,,,-39.22955,-13.921439
17,,,-39.229515,-13.921376
18,,,-39.22949,-13.921328
19,,,-39.229473,-13.921292
0,,,-41.582806,-14.449816
1,,,-41.582592,-14.443703
2,,,-41.58204,-14.439167
3,,,-41.581337,-14.435823
4,,,-41.580612,-14.433367
5,,,-41.57993,-14.431562
6,,,-41.579315,-14.430241
7,,,-41.578793,-14.429273
8,,,-41.578354,-14.428565
9,,,-41.577995,-14.428047
10,,,-41.577705,-14.427669
11,,,-41.577477,-14.427392
12,,,-41.5773,-14.427189
13,,,-41.57716,-14.42704
14,,,-41.577053,-14.426931
15,,,-41.576973,-14.426851
16,,,-41.576912,-14.426791
17,,,-41.57687,-14.426747
18,,,-41.57683,-14.426715
19,,,-41.576813,-14.42669
0,,,-43.891964,-14.938387
1,,,-43.891212,-14.933547
2,,,-43.890236,-14.930016
3,,,-43.88922,-14.927426
4,,,-43.888283,-14.925521
5,,,-43.88746,-14.924111
6,,,-43.886765,-14.923064
7,,,-43.886204,-14.922289
8,,,-43.885773,-14.921714
9,,,-43.88543,-14.921269
10,,,-43.885166,-14.920935
11,,,-43.884964,-14.920687
12,,,-43.884808,-14.920501
13,,,-43.8847,-14.920369
14,,,-43.88463,-14.92027
15,,,-43.884575,-14.920197
16,,,-43.88453,-14.920142
17,,,-43.884502,-14.9201
18,,,-43.88448,-14.920069
19,,,-43.884468,-14.920044
0,,,-46.220116,-15.229979
1,,,-46.22049,-15.226104
2,,,-46.220356,-15.223234
3,,,-46.219963,-15.221121
4,,,-46.21945,-15.219565
5,,,-46.218925,-15.218425
6,,,-46.218422,-15.217588
7,,,-46.217976,-15.216977
8,,,-46.21759,-15.21653
9,,,-46.21727,-15.216204
10,,,-46.217007,-15.215965
11,,,-46.216797,-15.215791
12,,,-46.21663,-15.215664
13,,,-46.216496,-15.21557
14,,,-46.216393,-15.215503
15,,,-46.216312,-15.215451
16,,,-46.216255,-15.215414
17,,,-46.216213,-15.215388
18,,,-46.21618,-15.215367
19,,,-46.216156,-15.215353
0,,,-48.342342,-15.247159
1,,,-48.34221,-15.245767
2,,,-48.341587,-15.244766
3,,,-48.34075,-15.24405
4,,,-48.339874,-15.243538
5,,,-48.339035,-15.243174
6,,,-48.338284,-15.242915
7,,,-48.337635,-15.242731
8,,,-48.337097,-15.2426
9,,,-48.33666,-15.242509
10,,,-48.336304,-15.242443
11,,,-48.336025,-15.242397
12,,,-48.335804,-15.242365
13,,,-48.33564,-15.242341
14,,,-48.335506,-15.242325
15,,,-48.33541,-15.242312
16,,,-48.33534,-15.242305
17,,,-48.33528,-15.242299
18,,,-48.335243,-15.242294
19,,,-48.335217,-15.242291
0,,,-50.14577,-15.247621
1,,,-50.1442,-15.24626
2,,,-50.142254,-15.245308
3,,,-50.140266,-15.244641
4,,,-50.138412,-15.24417
5,,,-50.136772,-15.243838
6,,,-50.135372,-15.243601
7,,,-50.13421,-15.243432
8,,,-50.13326,-15.24331
9,,,-50.1325,-15.243221
10,,,-50.131897,-15.243156
11,,,-50.131424,-15.243109
12,,,-50.131054,-15.243073
13,,,-50.13077,-15.243046
14,,,-50.130554,-15.243026
15,,,-50.130386,-15.2430105
16,,,-50.130264,-15.242998
17,,,-50.13017,-15.24299
18,,,-50.1301,-15.242982
19,,,-50.130047,-15.242976
0,,,-51.788464,-15.237573
1,,,-51.78694,-15.233613
2,,,-51.784992,-15.23074
3,,,-51.783005,-15.22869
4,,,-51.781155,-15.227223
5,,,-51.779526,-15.22617
6,,,-51.778156,-15.225438
7,,,-51.77701,-15.224909
8,,,-51.77608,-15.224523
9,,,-51.77533,-15.224238
10,,,-51.774734,-15.22403
11,,,-51.77426,-15.223874
12,,,-51.7739,-15.223756
13,,,-51.773617,-15.223668
14,,,-51.7734,-15.223601
15,,,-51.773235,-15.223549
16,,,-51.773113,-15.22351
17,,,-51.773018,-15.223478
18,,,-51.77295,-15.2234535
19,,,-51.772896,-15.223436
0,,,-52.864662,-14.973352
1,,,-52.86326,-14.96755
2,,,-52.861546,-14.963311
3,,,-52.859825,-14.960244
4,,,-52.858253,-14.958049
5,,,-52.85688,-14.956469
6,,,-52.85572,-14.955326
7,,,-52.85478,-14.95452
8,,,-52.854008,-14.953949
9,,,-52.853397,-14.95353
10,,,-52.852913,-14.95322
11,,,-52.85253,-14.952991
12,,,-52.852234,-14.952817
13,,,-52.852005,-14.952687
14,,,-52.85183,-14.952587
15,,,-52.8517,-14.952511
16,,,-52.851597,-14.952453
17,,,-52.85152,-14.952408
18,,,-52.851463,-14.952373
19,,,-52.85142,-14.952346
0,,,-53.918873,-14.561027
1,,,-53.91794,-14.553956
2,,,-53.916706,-14.548776
3,,,-53.91543,-14.544968
4,,,-53.914246,-14.542228
5,,,-53.913204,-14.540249
6,,,-53.912323,-14.538813
7,,,-53.911594,-14.537763
8,,,-53.911003,-14.537021
9,,,-53.910538,-14.536489
10,,,-53.910164,-14.536094
11,,,-53.909866,-14.535797
12,,,-53.90964,-14.535575
13,,,-53.909466,-14.535407
14,,,-53.90933,-14.535278
15,,,-53.90922,-14.535179
16,,,-53.909145,-14.535104
17,,,-53.909084,-14.535045
18,,,-53.909042,-14.534999
19,,,-53.909008,-14.534963
0,,,-54.570652,-13.9846325
1,,,-54.569916,-13.978323
2,,,-54.568924,-13.973687
3,,,-54.56788,-13.970272
4,,,-54.566902,-13.967744
5,,,-54.566036,-13.965891
6,,,-54.565315,-13.964545
7,,,-54.564713,-13.963562
8,,,-54.564236,-13.96284
9,,,-54.563847,-13.962307
10,,,-54.563545,-13.961912
11,,,-54.563313,-13.961643
12,,,-54.563133,-13.961441
13,,,-54.562996,-13.9612875
14,,,-54.562885,-13.96117
15,,,-54.56281,-13.961081
16,,,-54.562744,-13.961012
17,,,-54.5627,-13.960958
18,,,-54.562668,-13.9609165
19,,,-54.56264,-13.960884
0,,,-55.213093,-13.402848
1,,,-55.212482,-13.3972
2,,,-55.21171,-13.393069
3,,,-55.210934,-13.3901
4,,,-55.21022,-13.387968
5,,,-55.20959,-13.386428
6,,,-55.20906,-13.385321
7,,,-55.208622,-13.384547
8,,,-55.20827,-13.38398
9,,,-55.20798,-13.383563
10,,,-55.207756,-13.383253
11,,,-55.207577,-13.383021
12,,,-55.20744,-13.382848
13,,,-55.20733,-13.382715
14,,,-55.20725,-13.382614
15,,,-55.207184,-13.382538
16,,,-55.207138,-13.382478
17,,,-55.2071,-13.382431
18,,,-55.207077,-13.382396
19,,,-55.207058,-13.382366
0,,,-56.059986,-12.952444
1,,,-56.05943,-12.946016
2,,,-56.058643,-12.941317
3,,,-56.05782,-12.937937
4,,,-56.05704,-12.93551
5,,,-56.05635,-12.933756
6,,,-56.055756,-12.932492
7,,,-56.055264,-12.931607
8,,,-56.05486,-12.930958
9,,,-56.054535,-12.930479
10,,,-56.054276,-12.930123
11,,,-56.054066,-12.929857
12,,,-56.053905,-12.929656
13,,,-56.053783,-12.929504
14,,,-56.053684,-12.929387
15,,,-56.05361,-12.929297
16,,,-56.053555,-12.929228
17,,,-56.053516,-12.929174
18,,,-56.053482,-12.929132
19,,,-56.05346,-12.929099
0,,,-56.72032,-12.457524
1,,,-56.71968,-12.451704
2,,,-56.71881,-12.447425
3,,,-56.717903,-12.444265
4,,,-56.717045,-12.441925
5,,,-56.716293,-12.440225
6,,,-56.715656,-12.438986
7,,,-56.715137,-12.438081
8,,,-56.71471,-12.437412
9,,,-56.71437,-12.436917
10,,,-56.714108,-12.43657
11,,,-56.713905,-12.436318
12,,,-56.71374,-12.436128
13,,,-56.713623,-12.435983
14,,,-56.713524,-12.435872
15,,,-56.713455,-12.435788
16,,,-56.713398,-12.435723
17,,,-56.713356,-12.435672
18,,,-56.71333,-12.435633
19,,,-56.713306,-12.435602
0,,,-57.184204,-11.908564
1,,,-57.18366,-11.903575
2,,,-57.182972,-11.899924
3,,,-57.182266,-11.8972435
4,,,-57.18162,-11.89532
5,,,-57.181053,-11.893932
6,,,-57.180576,-11.892927
7,,,-57.180183,-11.892194
8,,,-57.179867,-11.891679
9,,,-57.179615,-11.89131
10,,,-57.179413,-11.891036
11,,,-57.179256,-11.890831
12,,,-57.179134,-11.890677
13,,,-57.17904,-11.890561
14,,,-57.178967,-11.890472
15,,,-57.17891,-11.890405
16,,,-57.178867,-11.890352
17,,,-57.178837,-11.890312
18,,,-57.178818,-11.890281
19,,,-57.1788,-11.890256
0,,,-57.293793,-11.51699
1,,,-57.293564,-11.511812
2,,,-57.29324,-11.508017
3,,,-57.29289,-11.505227
4,,,-57.29256,-11.503171
5,,,-57.292267,-11.501648
6,,,-57.29202,-11.500517
7,,,-57.291817,-11.499674
8,,,-57.29165,-11.499042
9,,,-57.29152,-11.498567
10,,,-57.29142,-11.498217
11,,,-57.29134,-11.497958
12,,,-57.29128,-11.497766
13,,,-57.291237,-11.497621
14,,,-57.291203,-11.497512
15,,,-57.291176,-11.497429
16,,,-57.291157,-11.497367
17,,,-57.291145,-11.497323
18,,,-57.291134,-11.497292
19,,,-57.29113,-11.497267
0,,,-57.299698,-11.0751
1,,,-57.29973,-11.070803
2,,,-57.299717,-11.067715
3,,,-57.299686,-11.065484
4,,,-57.29965,-11.063862
5,,,-57.29961,-11.062675
6,,,-57.29958,-11.061814
7,,,-57.299553,-11.061182
8,,,-57.29953,-11.060715
9,,,-57.29952,-11.060367
10,,,-57.299503,-11.060105
11,,,-57.29949,-11.059907
12,,,-57.299484,-11.059756
13,,,-57.29948,-11.059639
14,,,-57.299477,-11.059548
15,,,-57.299473,-11.059478
16,,,-57.299473,-11.0594225
17,,,-57.29947,-11.059379
18,,,-57.29947,-11.059344
19,,,-57.29947,-11.059317
0,,,-57.292347,-10.650352
1,,,-57.29243,-10.6460705
2,,,-57.292328,-10.643006
3,,,-57.29216,-10.640809
4,,,-57.291996,-10.63924
5,,,-57.291832,-10.638108
6,,,-57.29169,-10.637287
7,,,-57.29157,-10.636687
8,,,-57.29147,-10.636246
9,,,-57.291386,-10.635916
10,,,-57.291325,-10.63567
11,,,-57.29128,-10.635482
12,,,-57.29124,-10.63534
13,,,-57.29121,-10.635229
14,,,-57.291195,-10.635143
15,,,-57.29118,-10.6350765
16,,,-57.291172,-10.635024
17,,,-57.291164,-10.634982
18,,,-57.291157,-10.634949
19,,,-57.291157,-10.634922
0,,,-57.176903,-10.206108
1,,,-57.17719,-10.202115
2,,,-57.17722,-10.199329
3,,,-57.17711,-10.19738
4,,,-57.176933,-10.19601
5,,,-57.17674,-10.19504
6,,,-57.176548,-10.194348
7,,,-57.176376,-10.1938505
8,,,-57.176235,-10.193489
9,,,-57.176113,-10.193222
10,,,-57.176018,-10.193024
11,,,-57.175938,-10.192874
12,,,-57.17588,-10.192759
13,,,-57.175835,-10.19267
14,,,-57.1758,-10.192599
15,,,-57.175777,-10.192545
16,,,-57.17576,-10.1925
17,,,-57.175747,-10.192465
18,,,-57.17574,-10.192436
19,,,-57.175735,-10.192412
0,,,-56.711025,-9.755061
1,,,-56.71118,-9.751316
2,,,-56.711033,-9.748667
3,,,-56.71079,-9.746798
4,,,-56.71053,-9.745477
5,,,-56.710274,-9.744535
6,,,-56.71004,-9.74386
7,,,-56.709843,-9.743371
8,,,-56.709675,-9.743013
9,,,-56.70954,-9.742748
10,,,-56.70943,-9.742551
11,,,-56.709347,-9.742401
12,,,-56.709286,-9.742286
13,,,-56.709236,-9.742197
14,,,-56.7092,-9.742126
15,,,-56.709175,-9.742072
16,,,-56.709156,-9.742027
17,,,-56.709145,-9.741993
18,,,-56.709137,-9.741964
19,,,-56.70913,-9.741941
0,,,-56.237278,-9.326068
1,,,-56.237526,-9.322552
2,,,-56.23746,-9.320079
3,,,-56.23727,-9.318341
4,,,-56.237015,-9.317113
5,,,-56.236748,-9.316238
6,,,-56.236504,-9.315613
7,,,-56.236286,-9.31516
8,,,-56.2361,-9.314828
9,,,-56.23595,-9.314584
10,,,-56.23583,-9.314402
11,,,-56.235733,-9.314263
12,,,-56.23566,-9.3141575
13,,,-56.23561,-9.3140745
14,,,-56.23557,-9.314011
15,,,-56.235542,-9.31396
16,,,-56.23552,-9.31392
17,,,-56.235504,-9.313888
18,,,-56.235493,-9.313861
19,,,-56.23549,-9.313841
0,,,-55.75258,-8.93097
1,,,-55.752857,-8.927686
2,,,-55.75273,-8.925369
3,,,-55.75249,-8.923744
4,,,-55.75219,-8.922595
5,,,-55.751884,-8.921779
6,,,-55.751602,-8.921194
7,,,-55.751354,-8.920771
8,,,-55.751144,-8.920463
9,,,-55.750973,-8.920235
10,,,-55.75083,-8.920064
11,,,-55.75073,-8.919935
12,,,-55.75065,-8.919835
13,,,-55.750584,-8.919759
14,,,-55.750538,-8.919699
15,,,-55.750504,-8.919651
16,,,-55.75048,-8.919613
17,,,-55.750465,-8.919582
18,,,-55.75045,-8.919558
19,,,-55.750446,-8.919538
0,,,-55.107357,-8.557093
1,,,-55.107628,-8.553984
2,,,-55.107483,-8.551791
3,,,-55.107212,-8.550251
4,,,-55.106876,-8.549161
5,,,-55.10654,-8.548385
6,,,-55.106224,-8.547828
7,,,-55.105953,-8.547425
8,,,-55.10572,-8.547131
9,,,-55.105534,-8.546913
10,,,-55.10538,-8.546751
11,,,-55.105267,-8.546628
12,,,-55.105175,-8.546534
13,,,-55.105106,-8.54646
14,,,-55.10506,-8.546403
15,,,-55.105022,-8.546357
16,,,-55.104996,-8.546322
17,,,-55.104977,-8.546293
18,,,-55.104965,-8.546269
19,,,-55.10496,-8.54625
0,,,-54.494717,-8.208076
1,,,-54.495037,-8.205068
2,,,-54.494896,-8.202954
3,,,-54.494587,-8.201473
4,,,-54.494198,-8.200428
5,,,-54.493805,-8.199687
6,,,-54.49344,-8.199157
7,,,-54.49312,-8.198774
8,,,-54.492847,-8.198495
9,,,-54.49263,-8.19829
10,,,-54.49245,-8.198136
11,,,-54.492313,-8.198021
12,,,-54.49221,-8.197932
13,,,-54.49213,-8.197864
14,,,-54.49207,-8.197809
15,,,-54.492023,-8.197767
16,,,-54.492,-8.197733
17,,,-54.491974,-8.197706
18,,,-54.491962,-8.197683
19,,,-54.49195,-8.197666
0,,,-53.726273,-7.8750906
1,,,-53.726646,-7.872186
2,,,-53.72647,-7.870138
3,,,-53.72611,-7.868699
4,,,-53.725662,-7.867681
5,,,-53.725212,-7.8669567
6,,,-53.724796,-7.8664374
7,,,-53.724426,-7.866061
8,,,-53.724117,-7.865786
9,,,-53.723866,-7.8655834
10,,,-53.723667,-7.8654313
11,,,-53.723507,-7.865316
12,,,-53.72339,-7.8652277
13,,,-53.723297,-7.865159
14,,,-53.723232,-7.8651056
15,,,-53.723183,-7.8650637
16,,,-53.72315,-7.8650293
17,,,-53.723125,-7.8650026
18,,,-53.723106,-7.8649807
19,,,-53.7231,-7.864963
0,,,-52.869984,-7.543189
1,,,-52.87042,-7.5404196
2,,,-52.87023,-7.5384707
3,,,-52.86984,-7.5371037
4,,,-52.869347,-7.536138
5,,,-52.868847,-7.535453
6,,,-52.868378,-7.5349617
7,,,-52.86797,-7.534608
8,,,-52.867622,-7.534349
9,,,-52.86734,-7.534158
10,,,-52.867115,-7.534016
11,,,-52.86694,-7.5339084
12,,,-52.866806,-7.533826
13,,,-52.866703,-7.533762
14,,,-52.866627,-7.533712
15,,,-52.86657,-7.5336723
16,,,-52.86653,-7.533641
17,,,-52.866505,-7.5336156
18,,,-52.86649,-7.533595
19,,,-52.866478,-7.5335784
0,,,-51.882687,-7.237961
1,,,-51.883217,-7.2353153
2,,,-51.883038,-7.2334485
3,,,-51.88262,-7.2321367
4,,,-51.882095,-7.231208
5,,,-51.881557,-7.230546
6,,,-51.88105,-7.2300715
7,,,-51.880604,-7.229728
8,,,-51.88023,-7.229477
9,,,-51.879925,-7.229291
10,,,-51.879677,-7.2291517
11,,,-51.87949,-7.2290463
12,,,-51.87934,-7.2289653
13,,,-51.87923,-7.2289023
14,,,-51.879147,-7.228853
15,,,-51.879086,-7.2288146
16,,,-51.879044,-7.2287827
17,,,-51.879013,-7.228758
18,,,-51.878998,-7.2287383
19,,,-51.878983,-7.2287216
0,,,-50.788937,-6.9333987
1,,,-50.789494,-6.9309874
2,,,-50.78929,-6.9292865
3,,,-50.78885,-6.928092
4,,,-50.788284,-6.927247
5,,,-50.787704,-6.9266458
6,,,-50.787163,-6.9262147
7,,,-50.78669,-6.925903
8,,,-50.78629,-6.925675
9,,,-50.78596,-6.9255066
10,,,-50.7857,-6.9253807
11,,,-50.785496,-6.9252853
12,,,-50.78534,-6.925212
13,,,-50.785217,-6.925155
14,,,-50.78513,-6.9251103
15,,,-50.785072,-6.9250755
16,,,-50.785027,-6.9250474
17,,,-50.784992,-6.925025
18,,,-50.78497,-6.9250064
19,,,-50.784958,-6.924992
0,,,-49.61972,-6.660804
1,,,-49.620342,-6.6586013
2,,,-49.620163,-6.6570487
